pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,827.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,828.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,828.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,828.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,828.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,828.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,827.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,827.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,828.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,828.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,828.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,828.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,828.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,827.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,827.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,828.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,828.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,828.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,828.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,828.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,827.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,827.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,828.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,828.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,828.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,828.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,828.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,827.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,827.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,828.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,828.67
